Distance_mm,Alloy_1040.0_HRC,Alloy_4140.0_HRC,Alloy_4340.0_HRC
0.0,57.94733192202055,57.94733192202055,57.94733192202055
0.5050505050505051,57.63315614120245,57.898347117032245,57.918813863128236
1.0101010101010102,57.321581502974695,57.849425544714016,57.890317236037355
1.5151515151515151,57.01258647180469,57.80056712344115,57.861842024641554
2.0202020202020203,56.70614969045804,57.75177177169431,57.833388212846586
2.5252525252525255,56.402249978522455,57.703039408059375,57.80495578457028
3.0303030303030303,56.10086633094376,57.65436995122732,57.77654472374257
3.5353535353535355,55.80197791657404,57.6057633199941,57.74815501430545
4.040404040404041,55.50556407673185,57.55721943326045,57.719786640212995
4.545454545454546,55.211604323774324,57.50873821003185,57.69143958543133
5.050505050505051,54.92007833968108,57.46031956941829,57.66311383393865
5.555555555555556,54.630965974649904,57.41196343063419,57.634809369725154
6.0606060606060606,54.344247245703976,57.363669712998245,57.6065261767931
6.565656565656566,54.059902335310746,57.31543833593332,57.57826423915677
7.070707070707071,53.77791159001213,57.267269218966284,57.550023540842446
7.575757575757576,53.4982555190661,57.21916228172787,57.52180406588842
8.080808080808081,53.22091479309955,57.17111744395258,57.493605798344966
8.585858585858587,52.94587024277223,57.123134625478514,57.46542872227438
9.090909090909092,52.67310285745183,57.07521374624725,57.437272821750895
9.595959595959597,52.40259378389998,57.02735472630372,57.40913808086075
10.101010101010102,52.134324324969164,56.97955748579606,57.381024483702106
10.606060606060607,51.86827593831037,56.93182194497548,57.352932014385104
11.111111111111112,51.6044302350915,56.88414802419614,57.32486065703181
11.616161616161618,51.342768978726355,56.83653564391502,57.296810395776234
12.121212121212121,51.08327408361414,56.78898472469177,57.26878121476429
12.626262626262626,50.82592761388946,56.741495187188576,57.24077309815384
13.131313131313131,50.57071178218257,56.69406695217006,57.212786030114614
13.636363636363637,50.31760894838995,56.64669994050311,57.18481999482826
14.141414141414142,50.066601618455095,56.59939407315677,57.15687497648832
14.646464646464647,49.81767244315928,56.552149271202104,57.12895095930019
15.151515151515152,49.57080421692248,56.50496545581206,57.101047927481154
15.656565656565657,49.32597987661413,56.45784254826134,57.07316586526037
16.161616161616163,49.0831825003737,56.41078046992627,57.045304756878814
16.666666666666668,48.842395306441155,56.36377914228467,57.017464586589334
17.171717171717173,48.603601651996975,56.31683848691572,56.98964533865659
17.67676767676768,48.36678503201186,56.26995842549983,56.961846997357085
18.181818181818183,48.13192907810592,56.22313887981852,56.93406954697914
18.68686868686869,47.899017557417295,56.176379771754256,56.90631297182286
19.191919191919194,47.66803437148023,56.12968102329036,56.87857725620017
19.6969696969697,47.43896355511231,56.08304255651086,56.850862384434784
20.202020202020204,47.21178927531098,56.03646429360037,56.82316834086219
20.70707070707071,46.98649583015924,55.98994615684394,56.79549510982965
21.212121212121215,46.763067647740314,55.94348806862695,56.767842675696194
21.71717171717172,46.54148928506135,55.89708995143496,56.74021102283259
22.222222222222225,46.321745426986034,55.8507517278536,56.71260013562138
22.72727272727273,46.10382088517602,55.80447332056842,56.68500999845681
23.232323232323235,45.88770059704117,55.75825465236478,56.65744059574489
23.73737373737374,45.673369624698395,55.71209564612772,56.62989191190331
24.242424242424242,45.46081315393923,55.66599622484182,56.6023639313615
24.747474747474747,45.250016493205855,55.61995631159106,56.574856638560576
25.252525252525253,45.04096507257569,55.57397582955873,56.54737001795336
25.757575757575758,44.83364444275428,55.52805470202727,56.51990405400435
26.262626262626263,44.62804027407664,55.482192852378155,56.492458731189714
26.767676767676768,44.42413835551678,55.43639020409176,56.4650340339973
27.272727272727273,44.22192459370548,55.390646680747246,56.43762994692659
27.77777777777778,44.021385011956156,55.34496220602241,56.41024645448874
28.282828282828284,43.82250574929885,55.29933670369358,56.382883541206546
28.78787878787879,43.62527305952214,55.25377009763547,56.35554119161442
29.292929292929294,43.42967331022306,55.208262311821066,56.32821939025839
29.7979797979798,43.23569298186482,55.1628132703215,56.30091812169612
30.303030303030305,43.0433186668424,55.11742289730591,56.27363737049688
30.80808080808081,42.85253706855579,55.07209111704132,56.24637712124151
31.313131313131315,42.663335000490974,55.026817853892524,56.21913735852247
31.81818181818182,42.475699385308516,54.981603032321935,56.19191806694376
32.323232323232325,42.289617253939625,54.936446576889495,56.16471923112099
32.82828282828283,42.10507574468981,54.89134841225252,56.137540835681314
33.333333333333336,41.922062102349884,54.84630846316557,56.11038286526344
33.83838383838384,41.74056367731431,54.801326654480356,56.08324530451761
34.343434343434346,41.560567924706945,54.756402911145585,56.05612813810563
34.84848484848485,41.38206240351387,54.71153715820685,56.0290313507008
35.35353535353536,41.205034775723604,54.666729320806496,56.001954926987956
35.85858585858586,41.0294728054742,54.621979324183506,55.97489885166344
36.36363636363637,40.85536435820761,54.57728709367335,55.9478631094351
36.86868686868687,40.682697399830914,54.532652554707894,55.92084768502227
37.37373737373738,40.511459995884586,54.488075632815274,55.89385256315577
37.87878787878788,40.34164031071756,54.44355625361973,55.86687772857789
38.38383838383839,40.17322660666918,54.399094342841536,55.83992316604239
38.88888888888889,40.00620724325795,54.35468982629684,55.812988860314505
39.3939393939394,39.840570676376885,54.310342629897555,55.78607479617089
39.8989898989899,39.67630545749571,54.26605267965121,55.75918095839965
40.40404040404041,39.513400232869444,54.22181990166089,55.73230733180033
40.909090909090914,39.351843742753715,54.17764422212504,55.705453901183894
41.41414141414142,39.19162482062651,54.13352556733737,55.678620651372725
41.919191919191924,39.03273239241631,54.08946386368676,55.6518075672006
42.42424242424243,38.875155475736705,54.04545903765709,55.625014633512706
42.929292929292934,38.71888317912732,54.00151101582715,55.598241835165624
43.43434343434344,38.56390470130099,53.95761972487049,55.57148915702729
43.939393939393945,38.41020933039721,53.91378509155535,55.54475658397703
44.44444444444445,38.257786443241706,53.87000704274446,55.51804410090555
44.949494949494955,38.10662550461227,53.826285505394985,55.49135169271487
45.45454545454546,37.95671606651047,53.78262040655838,55.46467934431839
45.959595959595966,37.80804776743959,53.73901167338025,55.43802704064084
46.46464646464647,37.66061033168841,53.69545923310026,55.41139476661827
46.969696969696976,37.514393568621,53.65196301305199,55.38478250719807
47.47474747474748,37.36938737197232,53.60852294066283,55.358190247338904
47.979797979797986,37.22558171914974,53.565138943453846,55.33161797201078
48.484848484848484,37.08296667054024,53.521810949039654,55.305065666195
48.98989898989899,36.94153236882343,53.47853888512834,55.27853331488411
49.494949494949495,36.801269038290265,53.43532267952128,55.252020903081984
50.0,36.66216698416728,53.392162260113054,55.225528415803744
